chrom	type	start	end	strand	attributes
chr1	gene	65418	71584	+	ID=ENSG00000186092.7;gene_id=ENSG00000186092.7;gene_type=protein_coding;gene_name=OR4F5;level=2;hgnc_id=HGNC:14825;havana_gene=OTTHUMG00000001094.4
chr1	gene	450739	451677	-	ID=ENSG00000284733.2;gene_id=ENSG00000284733.2;gene_type=protein_coding;gene_name=OR4F29;level=2;hgnc_id=HGNC:31275;havana_gene=OTTHUMG00000002860.3
chr1	gene	685715	686653	-	ID=ENSG00000284662.2;gene_id=ENSG00000284662.2;gene_type=protein_coding;gene_name=OR4F16;level=2;hgnc_id=HGNC:15079;havana_gene=OTTHUMG00000002581.3
chr1	gene	923922	944574	+	ID=ENSG00000187634.13;gene_id=ENSG00000187634.13;gene_type=protein_coding;gene_name=SAMD11;level=2;hgnc_id=HGNC:28706;havana_gene=OTTHUMG00000040719.11
chr1	gene	944202	959308	-	ID=ENSG00000188976.11;gene_id=ENSG00000188976.11;gene_type=protein_coding;gene_name=NOC2L;level=2;hgnc_id=HGNC:24517;havana_gene=OTTHUMG00000040720.2
chr1	gene	960583	965718	+	ID=ENSG00000187961.15;gene_id=ENSG00000187961.15;gene_type=protein_coding;gene_name=KLHL17;level=2;hgnc_id=HGNC:24023;havana_gene=OTTHUMG00000040721.8
chr1	gene	966481	975864	+	ID=ENSG00000187583.11;gene_id=ENSG00000187583.11;gene_type=protein_coding;gene_name=PLEKHN1;level=2;hgnc_id=HGNC:25284;havana_gene=OTTHUMG00000040756.5
chr1	gene	975197	982116	-	ID=ENSG00000187642.10;gene_id=ENSG00000187642.10;gene_type=protein_coding;gene_name=PERM1;level=2;hgnc_id=HGNC:28208;havana_gene=OTTHUMG00000040757.3
chr1	gene	998961	1000171	-	ID=ENSG00000188290.11;gene_id=ENSG00000188290.11;gene_type=protein_coding;gene_name=HES4;level=2;hgnc_id=HGNC:24149;havana_gene=OTTHUMG00000040758.2
chr1	gene	1001137	1014539	+	ID=ENSG00000187608.10;gene_id=ENSG00000187608.10;gene_type=protein_coding;gene_name=ISG15;level=2;hgnc_id=HGNC:4053;havana_gene=OTTHUMG00000040777.4
chr1	gene	1020119	1056117	+	ID=ENSG00000188157.15;gene_id=ENSG00000188157.15;gene_type=protein_coding;gene_name=AGRN;level=2;hgnc_id=HGNC:329;tag=overlapping_locus;havana_gene=OTTHUMG00000040778.7
chr1	gene	1070966	1074305	-	ID=ENSG00000237330.3;gene_id=ENSG00000237330.3;gene_type=protein_coding;gene_name=RNF223;level=2;hgnc_id=HGNC:40020;havana_gene=OTTHUMG00000185582.2
chr1	gene	1081817	1116360	-	ID=ENSG00000131591.18;gene_id=ENSG00000131591.18;gene_type=protein_coding;gene_name=C1orf159;level=2;hgnc_id=HGNC:26062;havana_gene=OTTHUMG00000000745.9
chr1	gene	1173879	1197935	+	ID=ENSG00000162571.14;gene_id=ENSG00000162571.14;gene_type=protein_coding;gene_name=TTLL10;level=2;hgnc_id=HGNC:26693;havana_gene=OTTHUMG00000000851.6
chr1	gene	1203507	1206591	-	ID=ENSG00000186891.14;gene_id=ENSG00000186891.14;gene_type=protein_coding;gene_name=TNFRSF18;level=2;hgnc_id=HGNC:11914;havana_gene=OTTHUMG00000001414.5
chr1	gene	1211325	1214152	-	ID=ENSG00000186827.12;gene_id=ENSG00000186827.12;gene_type=protein_coding;gene_name=TNFRSF4;level=2;hgnc_id=HGNC:11918;havana_gene=OTTHUMG00000001415.5
chr1	gene	1216930	1232030	-	ID=ENSG00000078808.20;gene_id=ENSG00000078808.20;gene_type=protein_coding;gene_name=SDF4;level=2;hgnc_id=HGNC:24188;havana_gene=OTTHUMG00000001812.7
chr1	gene	1232236	1235040	+	ID=ENSG00000176022.7;gene_id=ENSG00000176022.7;gene_type=protein_coding;gene_name=B3GALT6;level=2;hgnc_id=HGNC:17978;tag=retrogene;havana_gene=OTTHUMG00000001813.3
chr1	gene	1242445	1246721	-	ID=ENSG00000184163.3;gene_id=ENSG00000184163.3;gene_type=protein_coding;gene_name=C1QTNF12;level=2;hgnc_id=HGNC:32308;havana_gene=OTTHUMG00000001412.6
chr1	gene	1253908	1273863	-	ID=ENSG00000160087.21;gene_id=ENSG00000160087.21;gene_type=protein_coding;gene_name=UBE2J2;level=2;hgnc_id=HGNC:19268;havana_gene=OTTHUMG00000001911.9
chr1	gene	1280435	1292028	+	ID=ENSG00000162572.21;gene_id=ENSG00000162572.21;gene_type=protein_coding;gene_name=SCNN1D;level=2;hgnc_id=HGNC:10601;havana_gene=OTTHUMG00000002081.8
chr1	gene	1292389	1309608	-	ID=ENSG00000131584.19;gene_id=ENSG00000131584.19;gene_type=protein_coding;gene_name=ACAP3;level=2;hgnc_id=HGNC:16754;tag=ncRNA_host;havana_gene=OTTHUMG00000002235.5
chr1	gene	1308596	1311676	+	ID=ENSG00000169972.13;gene_id=ENSG00000169972.13;gene_type=protein_coding;gene_name=PUSL1;level=2;hgnc_id=HGNC:26914;havana_gene=OTTHUMG00000003361.4
chr1	gene	1311584	1324686	-	ID=ENSG00000127054.22;gene_id=ENSG00000127054.22;gene_type=protein_coding;gene_name=INTS11;level=1;hgnc_id=HGNC:26052;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000003330.13
chr1	gene	1324755	1328895	+	ID=ENSG00000224051.7;gene_id=ENSG00000224051.7;gene_type=protein_coding;gene_name=CPTP;level=2;hgnc_id=HGNC:28116;havana_gene=OTTHUMG00000003171.4
chr1	gene	1331279	1335313	+	ID=ENSG00000169962.5;gene_id=ENSG00000169962.5;gene_type=protein_coding;gene_name=TAS1R3;level=2;hgnc_id=HGNC:15661;havana_gene=OTTHUMG00000003071.2
chr1	gene	1335275	1349417	-	ID=ENSG00000107404.21;gene_id=ENSG00000107404.21;gene_type=protein_coding;gene_name=DVL1;level=2;hgnc_id=HGNC:3084;tag=ncRNA_host;havana_gene=OTTHUMG00000003069.5
chr1	gene	1352688	1361776	-	ID=ENSG00000162576.17;gene_id=ENSG00000162576.17;gene_type=protein_coding;gene_name=MXRA8;level=2;hgnc_id=HGNC:7542;havana_gene=OTTHUMG00000002973.5
chr1	gene	1373729	1375206	-	ID=ENSG00000175756.14;gene_id=ENSG00000175756.14;gene_type=protein_coding;gene_name=AURKAIP1;level=2;hgnc_id=HGNC:24114;havana_gene=OTTHUMG00000001413.3
chr1	gene	1385710	1399334	-	ID=ENSG00000221978.13;gene_id=ENSG00000221978.13;gene_type=protein_coding;gene_name=CCNL2;level=2;hgnc_id=HGNC:20570;havana_gene=OTTHUMG00000002917.7
chr1	gene	1401908	1407292	-	ID=ENSG00000242485.6;gene_id=ENSG00000242485.6;gene_type=protein_coding;gene_name=MRPL20;level=1;hgnc_id=HGNC:14478;tag=ncRNA_host;havana_gene=OTTHUMG00000002916.4
chr1	gene	1418419	1421768	-	ID=ENSG00000235098.9;gene_id=ENSG00000235098.9;gene_type=protein_coding;gene_name=ANKRD65;level=1;hgnc_id=HGNC:42950;havana_gene=OTTHUMG00000002911.4
chr1	gene	1425870	1430254	+	ID=ENSG00000205116.4;gene_id=ENSG00000205116.4;gene_type=protein_coding;gene_name=TMEM88B;level=2;hgnc_id=HGNC:37099;havana_gene=OTTHUMG00000153395.3
chr1	gene	1434860	1442881	+	ID=ENSG00000179403.12;gene_id=ENSG00000179403.12;gene_type=protein_coding;gene_name=VWA1;level=1;hgnc_id=HGNC:30910;havana_gene=OTTHUMG00000002975.6
chr1	gene	1449688	1470162	+	ID=ENSG00000215915.10;gene_id=ENSG00000215915.10;gene_type=protein_coding;gene_name=ATAD3C;level=2;hgnc_id=HGNC:32151;havana_gene=OTTHUMG00000000531.8
chr1	gene	1471764	1497847	+	ID=ENSG00000160072.20;gene_id=ENSG00000160072.20;gene_type=protein_coding;gene_name=ATAD3B;level=2;hgnc_id=HGNC:24007;havana_gene=OTTHUMG00000000577.6
chr1	gene	1512161	1534684	+	ID=ENSG00000197785.14;gene_id=ENSG00000197785.14;gene_type=protein_coding;gene_name=ATAD3A;level=2;hgnc_id=HGNC:25567;havana_gene=OTTHUMG00000000575.7
chr1	gene	1534777	1540623	-	ID=ENSG00000205090.9;gene_id=ENSG00000205090.9;gene_type=protein_coding;gene_name=TMEM240;level=2;hgnc_id=HGNC:25186;havana_gene=OTTHUMG00000042193.4
chr1	gene	1541672	1574862	-	ID=ENSG00000160075.12;gene_id=ENSG00000160075.12;gene_type=protein_coding;gene_name=SSU72;level=2;hgnc_id=HGNC:25016;havana_gene=OTTHUMG00000000576.6
chr1	gene	1598011	1600134	-	ID=ENSG00000228594.4;gene_id=ENSG00000228594.4;gene_type=protein_coding;gene_name=FNDC10;level=2;hgnc_id=HGNC:42951;havana_gene=OTTHUMG00000154864.5
chr1	gene	1615453	1630604	+	ID=ENSG00000197530.13;gene_id=ENSG00000197530.13;gene_type=protein_coding;gene_name=MIB2;level=1;hgnc_id=HGNC:30577;havana_gene=OTTHUMG00000074647.10
chr1	gene	1632162	1635262	+	ID=ENSG00000189409.14;gene_id=ENSG00000189409.14;gene_type=protein_coding;gene_name=MMP23B;level=2;hgnc_id=HGNC:7171;havana_gene=OTTHUMG00000074713.7
chr1	gene	1635224	1659011	-	ID=ENSG00000248333.9;gene_id=ENSG00000248333.9;gene_type=protein_coding;gene_name=CDK11B;level=2;hgnc_id=HGNC:1729;havana_gene=OTTHUMG00000078638.6
chr1	gene	1659528	1692794	-	ID=ENSG00000189339.12;gene_id=ENSG00000189339.12;gene_type=protein_coding;gene_name=SLC35E2B;level=2;hgnc_id=HGNC:33941;havana_gene=OTTHUMG00000078639.4
chr1	gene	1702378	1724356	-	ID=ENSG00000008128.23;gene_id=ENSG00000008128.23;gene_type=protein_coding;gene_name=CDK11A;level=2;hgnc_id=HGNC:1730;tag=overlapping_locus;havana_gene=OTTHUMG00000000703.16
chr1	gene	1751231	1780456	-	ID=ENSG00000008130.15;gene_id=ENSG00000008130.15;gene_type=protein_coding;gene_name=NADK;level=2;hgnc_id=HGNC:29831;havana_gene=OTTHUMG00000000942.6
chr1	gene	1785284	1892291	-	ID=ENSG00000078369.19;gene_id=ENSG00000078369.19;gene_type=protein_coding;gene_name=GNB1;level=1;hgnc_id=HGNC:4396;havana_gene=OTTHUMG00000000940.9
chr1	gene	1915107	1917295	+	ID=ENSG00000169885.10;gene_id=ENSG00000169885.10;gene_type=protein_coding;gene_name=CALML6;level=1;hgnc_id=HGNC:24193;havana_gene=OTTHUMG00000000943.3
chr1	gene	1917589	1919278	-	ID=ENSG00000178821.13;gene_id=ENSG00000178821.13;gene_type=protein_coding;gene_name=TMEM52;level=2;hgnc_id=HGNC:27916;havana_gene=OTTHUMG00000000944.8
chr1	gene	1921950	2003836	-	ID=ENSG00000142609.20;gene_id=ENSG00000142609.20;gene_type=protein_coding;gene_name=CFAP74;level=1;hgnc_id=HGNC:29368;havana_gene=OTTHUMG00000000945.17
chr1	gene	2019328	2030757	+	ID=ENSG00000187730.9;gene_id=ENSG00000187730.9;gene_type=protein_coding;gene_name=GABRD;level=2;hgnc_id=HGNC:4084;havana_gene=OTTHUMG00000041064.6
chr1	gene	2050410	2185394	+	ID=ENSG00000067606.17;gene_id=ENSG00000067606.17;gene_type=protein_coding;gene_name=PRKCZ;level=1;hgnc_id=HGNC:9412;havana_gene=OTTHUMG00000001238.14
chr1	gene	2184460	2212719	-	ID=ENSG00000162585.17;gene_id=ENSG00000162585.17;gene_type=protein_coding;gene_name=FAAP20;level=2;hgnc_id=HGNC:26428;havana_gene=OTTHUMG00000001404.8
chr1	gene	2227387	2310212	+	ID=ENSG00000157933.11;gene_id=ENSG00000157933.11;gene_type=protein_coding;gene_name=SKI;level=2;hgnc_id=HGNC:10896;havana_gene=OTTHUMG00000001407.4
chr1	gene	2321252	2391706	-	ID=ENSG00000116151.14;gene_id=ENSG00000116151.14;gene_type=protein_coding;gene_name=MORN1;level=1;hgnc_id=HGNC:25852;tag=overlapping_locus;havana_gene=OTTHUMG00000001402.7
chr1	gene	2391774	2405441	+	ID=ENSG00000157916.20;gene_id=ENSG00000157916.20;gene_type=protein_coding;gene_name=RER1;level=2;hgnc_id=HGNC:30309;havana_gene=OTTHUMG00000001403.6
chr1	gene	2403963	2413796	-	ID=ENSG00000157911.11;gene_id=ENSG00000157911.11;gene_type=protein_coding;gene_name=PEX10;level=1;hgnc_id=HGNC:8851;havana_gene=OTTHUMG00000001637.9
chr1	gene	2425979	2505531	+	ID=ENSG00000149527.18;gene_id=ENSG00000149527.18;gene_type=protein_coding;gene_name=PLCH2;level=2;hgnc_id=HGNC:29037;havana_gene=OTTHUMG00000000719.6
chr1	gene	2508536	2526596	-	ID=ENSG00000157881.16;gene_id=ENSG00000157881.16;gene_type=protein_coding;gene_name=PANK4;level=2;hgnc_id=HGNC:19366;havana_gene=OTTHUMG00000000791.7
chr1	gene	2528744	2530262	-	ID=ENSG00000197921.6;gene_id=ENSG00000197921.6;gene_type=protein_coding;gene_name=HES5;level=2;hgnc_id=HGNC:19764;havana_gene=OTTHUMG00000000793.2
chr1	gene	2555638	2565381	+	ID=ENSG00000157873.18;gene_id=ENSG00000157873.18;gene_type=protein_coding;gene_name=TNFRSF14;level=2;hgnc_id=HGNC:11912;havana_gene=OTTHUMG00000000792.18
chr1	gene	2586490	2591468	+	ID=ENSG00000157870.17;gene_id=ENSG00000157870.17;gene_type=protein_coding;gene_name=PRXL2B;level=2;hgnc_id=HGNC:28390;havana_gene=OTTHUMG00000000847.6
chr1	gene	2590638	2633015	-	ID=ENSG00000142606.16;gene_id=ENSG00000142606.16;gene_type=protein_coding;gene_name=MMEL1;level=2;hgnc_id=HGNC:14668;havana_gene=OTTHUMG00000000846.5
